Modelo, Pergunta, PromptEvalDuration, EvalCount, EvalDuration, EvalRate, TotalDuration, RAM_GB
llama3.2, Ceu Azul, 0.8638777, 370, 16.320889, 22.67, 18.3509516, 2.519
llama3.2, Ceu Azul, 0.465838, 374, 18.573321, 20.14, 20.1842495, 2.519
llama3.2, Ceu Azul, 0.6305924, 408, 21.7314948, 18.77, 23.5994077, 2.520
llama3.2, Maca, 33.4301233, 96, 5.4650965, 17.57, 41.3964975, 2.583
llama3.2, Maca, 1.1479098, 89, 5.0977605, 17.46, 6.6772977, 2.585
llama3.2, Maca, 1.3215352, 120, 6.9846651, 17.18, 8.9774529, 2.585
llama3.2, Fazendeiro, 52.8187595, 162, 10.1660378, 15.94, 65.2920488, 2.585
llama3.2, Fazendeiro, 3.7111327, 149, 9.2626876, 16.09, 13.5241426, 2.587
llama3.2, Fazendeiro, 3.7288787, 231, 15.3758992, 15.02, 19.8781736, 2.586
llama3.1, Ceu Azul, 1.2132093, 325, 35.9095539, 9.05, 37.9850026, 5.418
llama3.1, Ceu Azul, 13.1711231, 182, 19.7195025, 9.23, 33.6666287, 5.484
llama3.1, Ceu Azul, 1.2950663, 184, 20.2215113, 9.10, 22.1705224, 5.486
llama3.1, Maca, 47.7866371, 61, 6.833878, 8.93, 61.4402745, 5.533
llama3.1, Maca, 2.3997402, 58, 6.389122, 9.08, 9.1523648, 5.535
llama3.1, Maca, 2.5727641, 37, 4.2836705, 8.64, 7.1825521, 5.536
llama3.1, Fazendeiro, 70.5017114, 161, 19.2300924, 8.37, 95.3114775, 5.531
llama3.1, Fazendeiro, 7.4310542, 223, 28.3965592, 7.85, 36.5699915, 5.531
llama3.1, Fazendeiro, 8.0363815, 159, 20.5079825, 7.75, 29.2240299, 5.532
phi4-mini, Ceu Azul, 0.3789451, 411, 24.2433014, 16.95, 26.0927319, 3.042
phi4-mini, Ceu Azul, 2.14734, 279, 16.6600352, 16.75, 20.4141742, 3.054
phi4-mini, Ceu Azul, 22.7447719, 240, 15.6926538, 15.29, 41.6761738, 3.118
phi4-mini, Maca, 1.0038145, 107, 6.9687682, 15.35, 8.5031067, 3.118
phi4-mini, Maca, 1.0847841, 182, 11.8444045, 15.37, 14.1356613, 3.120
phi4-mini, Maca, 1.0705297, 120, 8.6584668, 13.86, 10.2905225, 3.123
phi4-mini, Fazendeiro, 6.0746829, 236, 17.5118137, 13.48, 24.7137466, 3.118
phi4-mini, Fazendeiro, 3.7516402, 244, 18.6675373, 13.07, 23.3957528, 3.118
phi4-mini, Fazendeiro, 5.8657263, 243, 19.9102061, 12.20, 26.5601152, 3.121
